STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TMAX,TMIN
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110304,0.00,74,45
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110305,0.00,77,60
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110306,0.00,61,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110307,0.00,65,48
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110308,0.00,69,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110309,0.00,82,60
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110310,0.00,78,58
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110311,0.00,69,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110312,0.00,63,47
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110313,0.00,66,48
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110314,0.00,74,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110315,0.00,78,54
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110316,0.00,70,51
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110317,0.00,71,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110318,0.00,64,48
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110319,0.09,55,46
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110320,3.73,50,41
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110321,0.22,53,41
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110322,0.00,57,42
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110323,0.44,57,42
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110324,0.44,57,41
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110325,0.50,57,45
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110326,0.00,57,43
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110327,0.19,58,46
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110328,0.00,63,47
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110329,0.00,68,48
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110330,0.00,80,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110331,0.00,89,67
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110401,0.00,85,54
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110402,0.00,61,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110403,0.00,63,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110404,0.00,79,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110405,0.00,72,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110406,0.00,69,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110407,0.00,59,43
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110408,0.00,54,40
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110409,0.00,55,39
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110410,0.00,64,45
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110411,0.00,70,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110412,0.00,67,48
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110413,0.00,62,48
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110414,0.00,76,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110415,0.00,83,62
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110416,0.00,87,61
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110417,0.00,74,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110418,0.00,65,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110419,0.00,66,50
